Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_299,VDD,Metal1,149.7600,64.2600,1.199959
FILLER_12_288,VDD,Metal1,145.6890,63.6610,1.199961
FILLER_12_281,VDD,Metal1,142.3290,63.6610,1.199961
FILLER_12_274,VDD,Metal1,138.9690,63.6610,1.199962
FILLER_12_267,VDD,Metal1,135.6090,63.6610,1.199962
FILLER_12_249,VDD,Metal1,125.5200,64.2600,1.199974
FILLER_12_242,VDD,Metal1,123.6090,63.6610,1.199974
FILLER_12_235,VDD,Metal1,120.2490,63.6610,1.199975
FILLER_12_230,VDD,Metal1,116.4000,64.2600,1.199982
FILLER_12_226,VDD,Metal1,115.2110,63.6630,1.199984
FILLER_12_219,VDD,Metal1,112.5690,63.6610,1.199985
FILLER_12_214,VDD,Metal1,108.7200,64.2600,1.199992
FILLER_12_207,VDD,Metal1,106.8090,63.6610,1.199993
FILLER_12_200,VDD,Metal1,103.4490,63.6610,1.199994
FILLER_12_193,VDD,Metal1,100.0890,63.6610,1.199995
FILLER_12_186,VDD,Metal1,96.7290,63.6610,1.199996
FILLER_12_179,VDD,Metal1,93.3690,63.6610,1.199997
FILLER_12_171,VDD,Metal1,88.0800,64.2600,1.199994
FILLER_12_164,VDD,Metal1,86.1690,63.6610,1.199994
FILLER_12_157,VDD,Metal1,82.8090,63.6610,1.199993
FILLER_12_150,VDD,Metal1,79.4490,63.6610,1.199993
FILLER_12_146,VDD,Metal1,76.0800,64.2600,1.199992
FILLER_12_139,VDD,Metal1,74.1690,63.6610,1.199992
FILLER_12_133,VDD,Metal1,70.0800,64.2600,1.199991
FILLER_12_129,VDD,Metal1,68.6510,63.6630,1.199991
FILLER_12_122,VDD,Metal1,66.0090,63.6610,1.199991
FILLER_12_118,VDD,Metal1,62.6400,64.2600,1.199990
FILLER_12_114,VDD,Metal1,61.4510,63.6630,1.199990
FILLER_12_107,VDD,Metal1,58.8090,63.6610,1.199990
FILLER_12_91,VDD,Metal1,49.9200,64.2600,1.199992
FILLER_12_87,VDD,Metal1,48.4910,63.6630,1.199993
FILLER_12_80,VDD,Metal1,45.8490,63.6610,1.199993
FILLER_12_73,VDD,Metal1,42.4890,63.6610,1.199993
FILLER_12_66,VDD,Metal1,39.1290,63.6610,1.199994
FILLER_12_59,VDD,Metal1,35.7690,63.6610,1.199994
FILLER_12_54,VDD,Metal1,31.9200,64.2600,1.199997
FILLER_12_47,VDD,Metal1,30.0090,63.6610,1.199997
FILLER_12_40,VDD,Metal1,26.6490,63.6610,1.199997
FILLER_12_33,VDD,Metal1,23.2890,63.6610,1.199998
FILLER_12_26,VDD,Metal1,19.9290,63.6610,1.199998
FILLER_12_19,VDD,Metal1,16.5690,63.6610,1.199998
FILLER_12_8,VDD,Metal1,11.2890,63.6610,1.199995
FILLER_11_307,VDD,Metal1,153.6000,56.7000,1.199984
FILLER_11_303,VDD,Metal1,152.1710,57.2960,1.199984
FILLER_11_296,VDD,Metal1,149.5290,57.2980,1.199984
FILLER_11_289,VDD,Metal1,146.1690,57.2980,1.199984
FILLER_11_251,VDD,Metal1,126.4800,56.7000,1.199988
FILLER_11_244,VDD,Metal1,124.5690,57.2980,1.199988
FILLER_11_206,VDD,Metal1,104.8800,56.7000,1.199990
FILLER_11_199,VDD,Metal1,102.9690,57.2980,1.199990
FILLER_11_171,VDD,Metal1,88.0800,56.7000,1.199989
FILLER_11_79,VDD,Metal1,43.9200,56.7000,1.199986
FILLER_11_77,VDD,Metal1,43.2000,56.7000,1.199986
FILLER_11_70,VDD,Metal1,40.3310,57.2960,1.199986
FILLER_11_63,VDD,Metal1,37.6890,57.2980,1.199987
FILLER_11_56,VDD,Metal1,34.3290,57.2980,1.199989
FILLER_11_49,VDD,Metal1,30.9690,57.2980,1.199991
FILLER_11_42,VDD,Metal1,27.6090,57.2980,1.199992
FILLER_11_35,VDD,Metal1,24.2490,57.2980,1.199994
FILLER_11_28,VDD,Metal1,20.8890,57.2980,1.199996
FILLER_11_21,VDD,Metal1,17.5290,57.2980,1.199997
FILLER_11_14,VDD,Metal1,14.1690,57.2980,1.199997
FILLER_11_7,VDD,Metal1,10.8090,57.2980,1.199997
FILLER_11_0,VDD,Metal1,7.4490,57.2980,1.199997
FILLER_10_307,VDD,Metal1,153.6000,56.7000,1.199984
FILLER_10_303,VDD,Metal1,152.1710,56.1030,1.199984
FILLER_10_296,VDD,Metal1,149.5290,56.1010,1.199984
FILLER_10_289,VDD,Metal1,146.1690,56.1010,1.199984
FILLER_10_255,VDD,Metal1,129.1310,56.1030,1.199987
FILLER_10_224,VDD,Metal1,113.5200,56.7000,1.199989
FILLER_10_222,VDD,Metal1,112.8000,56.7000,1.199989
FILLER_10_188,VDD,Metal1,96.2400,56.7000,1.199992
FILLER_10_181,VDD,Metal1,94.3290,56.1010,1.199992
FILLER_10_164,VDD,Metal1,85.4510,56.1030,1.199987
FILLER_10_157,VDD,Metal1,82.8090,56.1010,1.199987
FILLER_10_142,VDD,Metal1,74.4000,56.7000,1.199985
FILLER_10_135,VDD,Metal1,72.2490,56.1010,1.199985
FILLER_10_128,VDD,Metal1,68.8890,56.1010,1.199985
FILLER_10_116,VDD,Metal1,61.9200,56.7000,1.199986
FILLER_10_109,VDD,Metal1,59.7690,56.1010,1.199986
FILLER_10_102,VDD,Metal1,56.4090,56.1010,1.199986
FILLER_10_70,VDD,Metal1,39.8400,56.7000,1.199986
FILLER_10_63,VDD,Metal1,37.6890,56.1010,1.199987
FILLER_10_56,VDD,Metal1,34.3290,56.1010,1.199989
FILLER_10_49,VDD,Metal1,30.9690,56.1010,1.199991
FILLER_10_42,VDD,Metal1,27.6090,56.1010,1.199992
FILLER_10_35,VDD,Metal1,24.2490,56.1010,1.199994
FILLER_10_28,VDD,Metal1,20.8890,56.1010,1.199996
FILLER_10_21,VDD,Metal1,17.5290,56.1010,1.199997
FILLER_10_14,VDD,Metal1,14.1690,56.1010,1.199997
FILLER_10_7,VDD,Metal1,10.8090,56.1010,1.199997
FILLER_10_0,VDD,Metal1,7.4490,56.1010,1.199997
FILLER_9_298,VDD,Metal1,150.4890,49.7380,1.199982
FILLER_9_291,VDD,Metal1,147.1290,49.7380,1.199982
FILLER_9_284,VDD,Metal1,143.7690,49.7380,1.199982
FILLER_9_277,VDD,Metal1,140.4090,49.7380,1.199982
FILLER_9_270,VDD,Metal1,137.0490,49.7380,1.199982
FILLER_9_263,VDD,Metal1,133.6890,49.7380,1.199982
FILLER_9_256,VDD,Metal1,130.3290,49.7380,1.199983
FILLER_9_249,VDD,Metal1,126.9690,49.7380,1.199983
FILLER_9_242,VDD,Metal1,123.6090,49.7380,1.199983
FILLER_9_235,VDD,Metal1,120.2490,49.7380,1.199983
FILLER_9_230,VDD,Metal1,116.4000,49.1400,1.199983
FILLER_9_228,VDD,Metal1,115.6800,49.1400,1.199983
FILLER_9_214,VDD,Metal1,109.4510,49.7360,1.199991
FILLER_9_207,VDD,Metal1,106.8090,49.7380,1.199992
FILLER_9_195,VDD,Metal1,99.8400,49.1400,1.199992
FILLER_9_191,VDD,Metal1,98.4110,49.7360,1.199992
FILLER_9_184,VDD,Metal1,95.7690,49.7380,1.199993
FILLER_9_177,VDD,Metal1,92.4090,49.7380,1.199991
FILLER_9_160,VDD,Metal1,84.2490,49.7380,1.199988
FILLER_9_153,VDD,Metal1,80.8890,49.7380,1.199981
FILLER_9_138,VDD,Metal1,72.2400,49.1400,1.199967
FILLER_9_136,VDD,Metal1,71.5200,49.1400,1.199965
FILLER_9_132,VDD,Metal1,69.3600,49.1400,1.199964
FILLER_9_130,VDD,Metal1,68.6400,49.1400,1.199964
FILLER_9_123,VDD,Metal1,66.4890,49.7380,1.199964
FILLER_9_116,VDD,Metal1,63.1290,49.7380,1.199964
FILLER_9_109,VDD,Metal1,59.7690,49.7380,1.199964
FILLER_9_102,VDD,Metal1,56.4090,49.7380,1.199964
FILLER_9_67,VDD,Metal1,38.1600,49.1400,1.199963
FILLER_9_60,VDD,Metal1,36.2490,49.7380,1.199963
FILLER_9_55,VDD,Metal1,32.4000,49.1400,1.199963
FILLER_9_53,VDD,Metal1,31.6800,49.1400,1.199963
FILLER_9_46,VDD,Metal1,29.5290,49.7380,1.199984
FILLER_9_39,VDD,Metal1,26.1690,49.7380,1.199989
FILLER_9_32,VDD,Metal1,22.8090,49.7380,1.199993
FILLER_9_25,VDD,Metal1,19.4490,49.7380,1.199998
FILLER_9_18,VDD,Metal1,16.0890,49.7380,1.199997
FILLER_9_11,VDD,Metal1,12.7290,49.7380,1.199996
FILLER_9_4,VDD,Metal1,9.3690,49.7380,1.199996
FILLER_8_308,VDD,Metal1,153.8400,49.1400,1.199982
FILLER_8_304,VDD,Metal1,152.6510,48.5430,1.199982
FILLER_8_297,VDD,Metal1,150.0090,48.5410,1.199982
FILLER_8_290,VDD,Metal1,146.6490,48.5410,1.199982
FILLER_8_283,VDD,Metal1,143.2890,48.5410,1.199982
FILLER_8_276,VDD,Metal1,139.9290,48.5410,1.199982
FILLER_8_269,VDD,Metal1,136.5690,48.5410,1.199982
FILLER_8_262,VDD,Metal1,133.2090,48.5410,1.199983
FILLER_8_255,VDD,Metal1,129.8490,48.5410,1.199983
FILLER_8_217,VDD,Metal1,110.1600,49.1400,1.199991
FILLER_8_215,VDD,Metal1,109.4400,49.1400,1.199991
FILLER_8_184,VDD,Metal1,94.3200,49.1400,1.199993
FILLER_8_177,VDD,Metal1,92.4090,48.5410,1.199991
FILLER_8_170,VDD,Metal1,89.0490,48.5410,1.199990
FILLER_8_163,VDD,Metal1,85.6890,48.5410,1.199988
FILLER_8_156,VDD,Metal1,82.3290,48.5410,1.199981
FILLER_8_126,VDD,Metal1,66.4800,49.1400,1.199964
FILLER_8_124,VDD,Metal1,65.7600,49.1400,1.199964
FILLER_8_117,VDD,Metal1,63.6090,48.5410,1.199964
FILLER_8_110,VDD,Metal1,60.2490,48.5410,1.199964
FILLER_8_103,VDD,Metal1,56.8890,48.5410,1.199964
FILLER_8_98,VDD,Metal1,53.2800,49.1400,1.199963
FILLER_8_94,VDD,Metal1,51.8510,48.5430,1.199963
FILLER_8_88,VDD,Metal1,48.2400,49.1400,1.199963
FILLER_8_86,VDD,Metal1,47.5200,49.1400,1.199963
FILLER_8_79,VDD,Metal1,45.3690,48.5410,1.199963
FILLER_8_42,VDD,Metal1,27.6090,48.5410,1.199989
FILLER_8_35,VDD,Metal1,24.2490,48.5410,1.199993
FILLER_8_28,VDD,Metal1,20.8890,48.5410,1.199998
FILLER_8_21,VDD,Metal1,17.5290,48.5410,1.199997
FILLER_8_14,VDD,Metal1,14.1690,48.5410,1.199996
FILLER_8_7,VDD,Metal1,10.8090,48.5410,1.199996
FILLER_8_0,VDD,Metal1,7.4490,48.5410,1.199995
FILLER_7_303,VDD,Metal1,151.6800,41.5800,1.199977
FILLER_7_296,VDD,Metal1,149.5290,42.1780,1.199977
FILLER_7_289,VDD,Metal1,146.1690,42.1780,1.199977
FILLER_7_282,VDD,Metal1,142.8090,42.1780,1.199977
FILLER_7_275,VDD,Metal1,139.4490,42.1780,1.199977
FILLER_7_268,VDD,Metal1,136.0890,42.1780,1.199978
FILLER_7_261,VDD,Metal1,132.7290,42.1780,1.199978
FILLER_7_254,VDD,Metal1,129.3690,42.1780,1.199978
FILLER_7_247,VDD,Metal1,126.0090,42.1780,1.199978
FILLER_7_240,VDD,Metal1,122.6490,42.1780,1.199978
FILLER_7_233,VDD,Metal1,119.2890,42.1780,1.199979
FILLER_7_228,VDD,Metal1,115.6800,41.5800,1.199979
FILLER_7_221,VDD,Metal1,113.5290,42.1780,1.199979
FILLER_7_214,VDD,Metal1,110.1690,42.1780,1.199979
FILLER_7_207,VDD,Metal1,106.8090,42.1780,1.199979
FILLER_7_200,VDD,Metal1,103.4490,42.1780,1.199979
FILLER_7_193,VDD,Metal1,100.0890,42.1780,1.199993
FILLER_7_153,VDD,Metal1,79.4400,41.5800,1.199992
FILLER_7_144,VDD,Metal1,75.3600,41.5800,1.199967
FILLER_7_128,VDD,Metal1,67.4400,41.5800,1.199962
FILLER_7_126,VDD,Metal1,66.7200,41.5800,1.199962
FILLER_7_92,VDD,Metal1,50.4000,41.5800,1.199960
FILLER_7_88,VDD,Metal1,48.9710,42.1760,1.199960
FILLER_7_81,VDD,Metal1,46.3290,42.1780,1.199960
FILLER_7_74,VDD,Metal1,42.9690,42.1780,1.199960
FILLER_7_67,VDD,Metal1,39.6090,42.1780,1.199982
FILLER_7_60,VDD,Metal1,36.2490,42.1780,1.199985
FILLER_7_53,VDD,Metal1,31.6800,41.5800,1.199989
FILLER_7_46,VDD,Metal1,29.5290,42.1780,1.199989
FILLER_7_39,VDD,Metal1,26.1690,42.1780,1.199992
FILLER_7_32,VDD,Metal1,22.8090,42.1780,1.199995
FILLER_7_25,VDD,Metal1,19.4490,42.1780,1.199998
FILLER_7_18,VDD,Metal1,16.0890,42.1780,1.199998
FILLER_7_11,VDD,Metal1,12.7290,42.1780,1.199997
FILLER_7_4,VDD,Metal1,9.3690,42.1780,1.199996
FILLER_6_307,VDD,Metal1,153.6000,41.5800,1.199974
FILLER_6_303,VDD,Metal1,152.1710,40.9830,1.199977
FILLER_6_296,VDD,Metal1,149.5290,40.9810,1.199977
FILLER_6_289,VDD,Metal1,146.1690,40.9810,1.199977
FILLER_6_282,VDD,Metal1,142.8090,40.9810,1.199977
FILLER_6_275,VDD,Metal1,139.4490,40.9810,1.199977
FILLER_6_268,VDD,Metal1,136.0890,40.9810,1.199978
FILLER_6_261,VDD,Metal1,132.7290,40.9810,1.199978
FILLER_6_254,VDD,Metal1,129.3690,40.9810,1.199978
FILLER_6_247,VDD,Metal1,126.0090,40.9810,1.199978
FILLER_6_240,VDD,Metal1,122.6490,40.9810,1.199978
FILLER_6_233,VDD,Metal1,119.2890,40.9810,1.199979
FILLER_6_226,VDD,Metal1,115.9290,40.9810,1.199979
FILLER_6_189,VDD,Metal1,96.7200,41.5800,1.199993
FILLER_6_185,VDD,Metal1,95.5310,40.9830,1.199995
FILLER_6_178,VDD,Metal1,92.8890,40.9810,1.199994
FILLER_6_171,VDD,Metal1,89.5290,40.9810,1.199994
FILLER_6_160,VDD,Metal1,84.2490,40.9810,1.199994
FILLER_6_153,VDD,Metal1,80.8890,40.9810,1.199992
FILLER_6_142,VDD,Metal1,75.6090,40.9810,1.199967
FILLER_6_117,VDD,Metal1,63.6090,40.9810,1.199960
FILLER_6_113,VDD,Metal1,60.2400,41.5800,1.199960
FILLER_6_111,VDD,Metal1,59.5200,41.5800,1.199960
FILLER_6_104,VDD,Metal1,57.3690,40.9810,1.199960
FILLER_6_70,VDD,Metal1,40.3310,40.9830,1.199982
FILLER_6_63,VDD,Metal1,37.6890,40.9810,1.199985
FILLER_6_56,VDD,Metal1,34.3290,40.9810,1.199988
FILLER_6_49,VDD,Metal1,30.9690,40.9810,1.199989
FILLER_6_42,VDD,Metal1,27.6090,40.9810,1.199992
FILLER_6_35,VDD,Metal1,24.2490,40.9810,1.199995
FILLER_6_28,VDD,Metal1,20.8890,40.9810,1.199998
FILLER_6_21,VDD,Metal1,17.5290,40.9810,1.199998
FILLER_6_14,VDD,Metal1,14.1690,40.9810,1.199997
FILLER_6_7,VDD,Metal1,10.8090,40.9810,1.199996
FILLER_6_0,VDD,Metal1,7.4490,40.9810,1.199996
FILLER_5_307,VDD,Metal1,153.6000,34.0200,1.199984
FILLER_5_303,VDD,Metal1,152.1710,34.6160,1.199988
FILLER_5_296,VDD,Metal1,149.5290,34.6180,1.199988
FILLER_5_289,VDD,Metal1,146.1690,34.6180,1.199988
FILLER_5_282,VDD,Metal1,142.8090,34.6180,1.199988
FILLER_5_275,VDD,Metal1,139.4490,34.6180,1.199988
FILLER_5_268,VDD,Metal1,136.0890,34.6180,1.199988
FILLER_5_261,VDD,Metal1,132.7290,34.6180,1.199988
FILLER_5_254,VDD,Metal1,129.3690,34.6180,1.199989
FILLER_5_247,VDD,Metal1,126.0090,34.6180,1.199989
FILLER_5_240,VDD,Metal1,122.6490,34.6180,1.199989
FILLER_5_233,VDD,Metal1,119.2890,34.6180,1.199989
FILLER_5_226,VDD,Metal1,115.9290,34.6180,1.199989
FILLER_5_219,VDD,Metal1,112.5690,34.6180,1.199990
FILLER_5_212,VDD,Metal1,109.2090,34.6180,1.199990
FILLER_5_205,VDD,Metal1,105.8490,34.6180,1.199990
FILLER_5_198,VDD,Metal1,101.7710,34.6160,1.199990
FILLER_5_191,VDD,Metal1,99.1290,34.6180,1.199990
FILLER_5_180,VDD,Metal1,93.8490,34.6180,1.199990
FILLER_5_152,VDD,Metal1,78.9600,34.0200,1.199918
FILLER_5_105,VDD,Metal1,56.4000,34.0200,1.199919
FILLER_5_98,VDD,Metal1,54.4890,34.6180,1.199919
FILLER_5_91,VDD,Metal1,51.1290,34.6180,1.199920
FILLER_5_77,VDD,Metal1,43.6910,34.6160,1.199920
FILLER_5_70,VDD,Metal1,41.0490,34.6180,1.199920
FILLER_5_63,VDD,Metal1,37.6890,34.6180,1.199957
FILLER_5_56,VDD,Metal1,34.3290,34.6180,1.199978
FILLER_5_49,VDD,Metal1,30.9690,34.6180,1.199978
FILLER_5_42,VDD,Metal1,27.6090,34.6180,1.199984
FILLER_5_35,VDD,Metal1,24.2490,34.6180,1.199991
FILLER_5_28,VDD,Metal1,20.8890,34.6180,1.199997
FILLER_5_21,VDD,Metal1,17.5290,34.6180,1.199996
FILLER_5_14,VDD,Metal1,14.1690,34.6180,1.199996
FILLER_5_7,VDD,Metal1,10.8090,34.6180,1.199995
FILLER_5_0,VDD,Metal1,7.4490,34.6180,1.199994
FILLER_4_301,VDD,Metal1,151.2110,33.4230,1.199988
FILLER_4_294,VDD,Metal1,148.5690,33.4210,1.199988
FILLER_4_287,VDD,Metal1,145.2090,33.4210,1.199988
FILLER_4_280,VDD,Metal1,141.8490,33.4210,1.199988
FILLER_4_273,VDD,Metal1,138.4890,33.4210,1.199988
FILLER_4_266,VDD,Metal1,135.1290,33.4210,1.199988
FILLER_4_259,VDD,Metal1,131.7690,33.4210,1.199989
FILLER_4_252,VDD,Metal1,128.4090,33.4210,1.199989
FILLER_4_245,VDD,Metal1,125.0490,33.4210,1.199989
FILLER_4_238,VDD,Metal1,121.6890,33.4210,1.199989
FILLER_4_231,VDD,Metal1,118.3290,33.4210,1.199989
FILLER_4_224,VDD,Metal1,114.9690,33.4210,1.199989
FILLER_4_217,VDD,Metal1,111.6090,33.4210,1.199990
FILLER_4_166,VDD,Metal1,85.9200,34.0200,1.199918
